,Latitude (X),Longitude (Y),POI_TYPE,Pop_Den,Cam_Present,Tornado Distance,Tornado Magnitude,Classification (Output)
102,40.17415711,-83.04267538,None,349.24766830000004,0.0,13.1,2,0
103,39.84409229999999,-83.58474253,None,,0.0,24.7,2,0
104,39.81668317,-83.2707202,None,34.42414211,0.0,0.0,0,0
105,40.1199174,-82.95845309,0,657.6835926,0.0,0.0,0,0
106,40.31153998,-83.20778506,None,44.76187266,0.0,29.7,2,0
107,39.82216938,-83.59032876,None,,0.0,24.7,2,0
108,39.93132908,-82.92204045,1,5880.9485429999995,0.0,5.5,3,0
109,39.98656957,-83.66622349,None,,0.0,30.4,3,0
110,39.63347313,-83.20504957,None,30.6780109,0.0,0.0,0,0
111,39.65326517,-83.21093814,None,30.6780109,0.0,0.0,0,0
112,39.74299133,-83.04432872,None,94.80199903,0.0,0.0,0,0
113,39.97066301,-82.89023265,2,8326.950667000001,0.0,5.5,3,0
114,39.985924600000004,-83.18879485,None,103.1198164,0.0,5.2,3,0
115,39.97892183,-83.55506215,None,,0.0,30.4,3,0
116,40.00764411,-83.73571256,None,,0.0,0.0,0,0
117,40.12162159,-83.06889496,2,6103.547482999999,0.0,13.1,2,0
118,39.8600999,-83.40992919,None,35.72881924,0.0,21.6,3,0
119,39.81437187,-83.14683520000001,None,193.43421819999998,0.0,0.0,0,0
120,39.97645367,-83.43784081,None,38.63083773,0.0,21.6,3,0
121,39.65754691,-83.17151650000001,None,31.23169056,0.0,0.0,0,0
122,39.6402323,-83.1249773,None,31.23169056,0.0,0.0,0,0
123,40.07371054,-83.71556917,None,,0.0,0.0,0,0
124,40.03309781,-83.09781037,2,2069.635081,0.0,13.1,2,0
125,39.92711388,-82.90876068,2,6664.567825,1.0,5.5,3,0
126,40.00550504,-82.94909369,1,5484.830099,0.0,5.5,3,0
127,39.66808166,-83.24980906,None,30.6780109,0.0,35.8,2,0
128,39.85433363,-83.26235649,None,34.42414211,0.0,5.2,3,0
129,39.98559302,-83.34172176,None,66.53353445,0.0,24.7,2,0
130,39.98782694,-83.62244091,None,,0.0,30.4,3,0
131,39.80179947,-83.40691165,None,35.72881924,0.0,21.6,3,0
132,40.0886671,-83.20149717,None,467.6142215,0.0,13.1,2,0
133,40.14333499,-83.26634354,None,185.65981440000002,0.0,13.1,2,0
134,39.90115803,-83.00574478,1,709.9142373,0.0,5.5,3,0
135,39.92660272,-83.63328187,None,,0.0,36.8,5,0
136,39.97709214,-82.85831475,1,1178.302019,0.0,5.5,3,0
137,40.16567485,-83.14196987,None,958.6184927000002,0.0,13.1,2,0
138,40.07364749,-83.09542615,1,10230.05936,0.0,13.1,2,0
139,39.82245185,-83.15513116,None,193.43421819999998,0.0,0.0,0,0
140,40.21598311,-83.50459065,None,,0.0,0.0,0,0
141,40.17513911,-83.56673498,None,,0.0,0.0,0,0
142,39.80274297,-83.20948704,None,63.65755637,0.0,0.0,0,0
143,40.149614299999996,-82.90428877,None,2328.089521,0.0,0.0,0,0
144,39.87115496,-83.53053015,None,94.4476042,0.0,21.6,3,0
145,39.86852578,-82.98183063,1,756.2596731000001,0.0,0.0,0,0
146,40.03010899,-83.48031136,None,38.63083773,0.0,21.6,3,0
147,40.13357779,-83.15580099,0,2267.540911,0.0,13.1,2,0
148,40.32754326,-83.38192813,None,51.2622799,0.0,0.0,0,0
149,40.04926357,-83.5640224,None,,0.0,30.4,3,0
150,40.30510536,-83.2719617,None,53.89293933,0.0,29.7,2,0
151,39.72738762,-83.08029686,None,94.80199903,0.0,0.0,0,0
152,40.12017715,-83.16658192,0,3278.2434949999997,0.0,13.1,2,0
153,40.14430902,-82.99821289,0,1694.0369420000002,0.0,13.1,2,0
154,39.99373832,-83.28816294,None,66.53353445,0.0,24.7,2,0
155,40.22842944,-83.38875036,None,6352.9503,0.0,0.0,0,0
156,40.17965091,-83.34980095,None,74.81616064,0.0,0.0,0,0
157,39.90226901,-83.61517943,None,,0.0,36.8,5,0
