Latitude (X),Longitude (Y),POI_TYPE,Pop_Den,Cam_Present,Tornado Distance,Tornado Magnitude,Classification (Output)
39.66808166,-83.24980906,None,30.6780109,0,35.8,2,0
39.85433363,-83.26235649,None,34.42414211,0,5.2,3,0
39.98559302,-83.34172176,None,66.53353445,0,24.7,2,0
39.98782694,-83.62244091,None,nan,0,30.4,3,0
39.80179947,-83.40691165,None,35.72881924,0,21.6,3,0
40.0886671,-83.20149717,None,467.6142215,0,13.1,2,0
40.14333499,-83.26634354,None,185.6598144,0,13.1,2,0
39.90115803,-83.00574478,1,709.9142373,0,5.5,3,0
39.92660272,-83.63328187,None,nan,0,36.8,5,0
39.97709214,-82.85831475,1,1178.302019,0,5.5,3,0
40.16567485,-83.14196987,None,958.6184927,0,13.1,2,0
40.07364749,-83.09542615,1,10230.05936,0,13.1,2,0
39.82245185,-83.15513116,None,193.4342182,0,0,0,0
40.21598311,-83.50459065,None,nan,0,0,0,0
40.17513911,-83.56673498,None,nan,0,0,0,0
39.80274297,-83.20948704,None,63.65755637,0,0,0,0
40.1496143,-82.90428877,None,2328.089521,0,0,0,0
39.87115496,-83.53053015,None,94.4476042,0,21.6,3,0
39.86852578,-82.98183063,1,756.2596731,0,0,0,0
40.03010899,-83.48031136,None,38.63083773,0,21.6,3,0
40.13357779,-83.15580099,0,2267.540911,0,13.1,2,0
40.32754326,-83.38192813,None,51.2622799,0,0,0,0
40.04926357,-83.5640224,None,nan,0,30.4,3,0
40.30510536,-83.2719617,None,53.89293933,0,29.7,2,0
39.72738762,-83.08029686,None,94.80199903,0,0,0,0
40.12017715,-83.16658192,0,3278.243495,0,13.1,2,0
40.14430902,-82.99821289,0,1694.036942,0,13.1,2,0
39.99373832,-83.28816294,None,66.53353445,0,24.7,2,0
40.22842944,-83.38875036,None,6352.9503,0,0,0,0
40.17965091,-83.34980095,None,74.81616064,0,0,0,0
39.90226901,-83.61517943,None,nan,0,36.8,5,0
