OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
4035,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 2 (24-45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,1,Complete Adoption
4037,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:22:21.000Z,,Complete Adoption
663,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Manufacturing,Industrial,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
664,Italian Village East Redevelopment Plan,2000-11-20T00:00:00.000Z,Institutional,Institutional,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
540,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Commercial (Neighborhood),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
541,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
542,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
543,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
544,Trabue/Roberts Area Plan,2011-02-28T00:00:00.000Z,Light Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
4038,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 2 (24-45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,"1, 2",Complete Adoption
4039,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Medium Density Residential (10-16 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:52.000Z,,Complete Adoption
680,Near East Area Plan,2005-09-19T00:00:00.000Z,Higher Density Residential/ Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
681,Near East Area Plan,2005-09-19T00:00:00.000Z,Light Industrial/Commercial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
682,Near East Area Plan,2005-09-19T00:00:00.000Z,Lower and Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
683,Near East Area Plan,2005-09-19T00:00:00.000Z,East Broasd Street,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
684,Near East Area Plan,2005-09-19T00:00:00.000Z,Office/Light Industrial/Mixed Uses,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
