OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
514,Northeast Area Plan,2007-07-16T00:00:00.000Z,Mixed Use-Regional Retail/Office/Light Industrial,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
515,Northeast Area Plan,2007-07-16T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
516,Northeast Area Plan,2007-07-16T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
517,Northeast Area Plan,2007-07-16T00:00:00.000Z,Neighborhood Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
518,Northeast Area Plan,2007-07-16T00:00:00.000Z,Airport Related,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
519,Northeast Area Plan,2007-07-16T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
520,Northeast Area Plan,2007-07-16T00:00:00.000Z,Mixed Use Neighborhood Center,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
521,Northeast Area Plan,2007-07-16T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
522,Northeast Area Plan,2007-07-16T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
523,Northeast Area Plan,2007-07-16T00:00:00.000Z,Office-Light Industrial,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
524,Northeast Area Plan,2007-07-16T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
525,Northeast Area Plan,2007-07-16T00:00:00.000Z,Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
526,Northeast Area Plan,2007-07-16T00:00:00.000Z,Very Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
527,Northeast Area Plan,2007-07-16T00:00:00.000Z,Office-Commercial-Light Industrial,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
528,Northeast Area Plan,2007-07-16T00:00:00.000Z,Open Space/Stream Buffer,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
529,North Central Plan,2002-05-06T00:00:00.000Z,Multi-Family Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
530,North Central Plan,2002-05-06T00:00:00.000Z,Single-Family Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
531,North Central Plan,2002-05-06T00:00:00.000Z,School,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
774,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
775,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Very Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
776,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
777,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Light Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
778,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
779,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
780,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Medium-High Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
1116,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1117,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1118,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Open Space (Includes Cemetery),Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1121,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Parks and Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
3997,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,,Complete Adoption
791,East Franklinton Creative Community District Plan,2012-11-12T00:00:00.000Z,Urban Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-04-18T00:00:00.000Z,,
3998,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 3 (>45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:28.000Z,2,Complete Adoption
794,East Franklinton Creative Community District Plan,2012-11-12T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-04-18T00:00:00.000Z,,
795,East Franklinton Creative Community District Plan,2012-11-12T00:00:00.000Z,Neighborhood Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-04-18T00:00:00.000Z,,
4009,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,High Density Residential (24-45 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
797,East Franklinton Creative Community District Plan,2012-11-12T00:00:00.000Z,Parks and Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-04-18T00:00:00.000Z,,
1122,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1443,Northland I Area Plan,2014-02-03T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1444,Northland I Area Plan,2014-02-03T00:00:00.000Z,Commercial (Regional),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
1445,Northland I Area Plan,2014-02-03T00:00:00.000Z,Parks and Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
781,East Columbus Neighborhood Plan,2012-04-23T00:00:00.000Z,Low-Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-05-09T00:00:00.000Z,,
1109,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Mixed Use (Community),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1111,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Medium-High Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1112,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Mixed Use (Regional),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1113,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Warehouse Flex,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1114,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1115,Olentangy West Area Plan,2013-09-23T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2013-10-16T00:00:00.000Z,,
1752,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Light Industrial,Industrial,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1753,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Medium-High Density Mixed Residential,Residential,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1754,South Side Plan,2014-06-09T00:00:00.000Z,Quarry,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1755,South Side Plan,2014-06-09T00:00:00.000Z,Stream Buffer/Greenway,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1756,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,High Density Residential,Residential,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1757,South Side Plan,2014-06-09T00:00:00.000Z,Neighborhood Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1758,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Community Commercial,Commercial,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1759,South Side Plan,2014-06-09T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1760,South Side Plan,2014-06-09T00:00:00.000Z,Parks and Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1761,South Side Plan,2014-06-09T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1762,South Side Plan,2014-06-09T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1763,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Employment Center,Employment Center,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1764,South Side Plan,2014-06-09T00:00:00.000Z,Low-Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1766,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Community Mixed Use,Mixed Use,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1767,South Side Plan,2014-06-09T00:00:00.000Z,Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1768,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Low-Medium Density Residential,Residential,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1769,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Parks and Recreation,Parks/Open Space,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1770,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Medium Density Mixed Residential,Residential,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
1771,South Side Plan,2014-06-09T00:00:00.000Z,Community Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1772,South Side Plan,2014-06-09T00:00:00.000Z,Medium-High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
1773,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Office,Office,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
3033,Westland Area Plan,1994-02-14T00:00:00.000Z,Village Center,Mixed Use,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
1776,Far North Area Plan,2014-09-15T00:00:00.000Z,Warehouse Flex,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
1777,Far North Area Plan,2014-09-15T00:00:00.000Z,Employment Center,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
1778,Far North Area Plan,2014-09-15T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
1779,Far North Area Plan,2014-09-15T00:00:00.000Z,Low–Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
1780,Far North Area Plan,2014-09-15T00:00:00.000Z,Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2069,Far North Area Plan,2014-09-15T00:00:00.000Z,Commercial (Community),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2070,Far North Area Plan,2014-09-15T00:00:00.000Z,Medium Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2071,Far North Area Plan,2014-09-15T00:00:00.000Z,Mixed Use (Regional),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2072,Far North Area Plan,2014-09-15T00:00:00.000Z,Medium–High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2073,Far North Area Plan,2014-09-15T00:00:00.000Z,Commercial (Regional),Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2074,Far North Area Plan,2014-09-15T00:00:00.000Z,Very Low Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2075,Far North Area Plan,2014-09-15T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2077,Far North Area Plan,2014-09-15T00:00:00.000Z,Mixed Use (Community),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
2078,Far North Area Plan,2014-09-15T00:00:00.000Z,Parks & Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-09-30T00:00:00.000Z,,
1765,North Linden Neighborhood Plan Amendment,2014-06-09T00:00:00.000Z,Neighborhood Mixed Use,Mixed Use,YES,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:48:40.000Z,,Early Adoption
3999,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Agriculture,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,"1,2",Complete Adoption
4000,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Industrial and Warehouse,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:22:21.000Z,,Complete Adoption
3029,Westland Area Plan,1994-02-14T00:00:00.000Z,Office,Office,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
3030,Westland Area Plan,1994-02-14T00:00:00.000Z,Commercial,Commercial,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
3031,Westland Area Plan,1994-02-14T00:00:00.000Z,Low Density Residential 1-2 Units Per Acre,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
3032,Westland Area Plan,1994-02-14T00:00:00.000Z,Open Space/Park/Buffer,Parks/Open Space,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
2389,West Franklinton Plan,2014-12-08T00:00:00.000Z,High Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2390,West Franklinton Plan,2014-12-08T00:00:00.000Z,Community Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2391,West Franklinton Plan,2014-12-08T00:00:00.000Z,Regional Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2392,West Franklinton Plan,2014-12-08T00:00:00.000Z,Railroad,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2393,West Franklinton Plan,2014-12-08T00:00:00.000Z,Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2394,West Franklinton Plan,2014-12-08T00:00:00.000Z,Neighborhood Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2395,West Franklinton Plan,2014-12-08T00:00:00.000Z,Medium Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2396,West Franklinton Plan,2014-12-08T00:00:00.000Z,Park,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
2397,West Franklinton Plan,2014-12-08T00:00:00.000Z,Medium-High Density Mixed Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
3035,Westland Area Plan,1994-02-14T00:00:00.000Z,High Density Residential 6 Units Per Acre +,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
3036,Westland Area Plan,1994-02-14T00:00:00.000Z,Industrial/Manufacturing,Industrial,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
3037,Westland Area Plan,1994-02-14T00:00:00.000Z,Agricultural/Very Low Density Residential,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
1446,Northland I Area Plan,2014-02-03T00:00:00.000Z,Mixed Use (Regional),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2014-02-13T00:00:00.000Z,,
2398,West Franklinton Plan,2014-12-08T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:53:10.000Z,,Early Adoption
3038,Westland Area Plan,1994-02-14T00:00:00.000Z,Residential 3-5 Units Per Acre,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:02.000Z,,Early Adoption
4048,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 3 (>45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:33.000Z,"1,2",Complete Adoption
4049,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Very Low Density Residential (<4 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:41.000Z,1,Complete Adoption
4050,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 2 (24-45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:19.000Z,"2,3",Complete Adoption
4051,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Parking,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,,Complete Adoption
4052,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Parks and Recreation,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,,Complete Adoption
4053,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:22:21.000Z,,Complete Adoption
4054,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Medium–High Density Residential (16-24 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:47.000Z,3,Complete Adoption
4318,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4319,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4055,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Medium–High Density Residential (16-24 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:43.000Z,,Complete Adoption
4057,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Very Low Density Residential (<4 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4058,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4059,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Private Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,,Complete Adoption
583,Interim Hayden Run Corridor Plan,2004-06-14T00:00:00.000Z,Environmentally Sensitive Development Area,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:50:58.000Z,,Early Adoption
4012,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 1 (<24 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:13.000Z,"2,3",Complete Adoption
3991,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 1 (<24 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,"1, 2",Complete Adoption
1751,South Side Plan,2014-06-09T00:00:00.000Z,Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:54:10.000Z,,Early Adoption
4056,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Medium Density Residential (10-16 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:57.000Z,,Complete Adoption
4324,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-11T09:39:12.000Z,,Early Adoption
4320,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4321,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4322,C2P2 Early Adoption,2018-07-16T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T09:52:45.000Z,,Early Adoption
4021,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 2 (24-45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:21.000Z,"1,2",Complete Adoption
3996,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 1 (<24 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:09.000Z,2,Complete Adoption
4323,McKinley Avenue Corridor Plan,2002-09-04T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-05T09:39:18.000Z,,Early Adoption
4041,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Medium Density Residential (10-16 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:54.000Z,1,Complete Adoption
4042,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Utilities and Railroads,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,,Complete Adoption
4043,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:22:21.000Z,,Complete Adoption
4044,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Low–Medium Density Residential (6-10 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:30.000Z,,Complete Adoption
4045,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:22:21.000Z,,Complete Adoption
4046,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 3 (>45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,1,Complete Adoption
4047,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Agriculture,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:21:33.000Z,,Complete Adoption
