X,Y,OBJECTID,COLS_KEY,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PRIMARY,ALT_GEOM,PHONE_NUM,GLOBALID,WEBSITE,OB_GYN,PEDIATRICS,PRIMARY_CARE
-83.040147885979735,39.988896757550322,5820295,1237665,1280 W 5TH AVE,Pak Mail,Retail - Services,,Yes,No,,{A7467BD9-46AF-44FF-8403-76F5F1EC3077},,,,
-82.928644529495827,39.99535196874384,5820296,860547,2935 SWITZER AVE,Handley Mechanical Insulation,Retail - Services,,Yes,No,,{B15F687D-0947-42A4-9D76-E61196F4633F},,,,
-82.99569907018315,39.966392700261302,5820297,1234519,165 N 5TH ST,Architectural Alliance,Office - Corporate,,Yes,No,,{7B3F6D46-4596-4F17-B8ED-22A67FE4D151},,,,
-82.834126274371556,39.942026779750343,5820298,424276,6065 E LIVINGSTON AVE,The Car Doctors,Retail - Services,,Yes,No,,{78179E77-C775-41D0-8EB2-6664BDA9311B},,,,
-83.071075473036913,39.944230090698476,5820299,687169,2714 SULLIVANT AVE,Food Mart ,Retail - Commercial/Retail,,Yes,No,,{3D3F1FA2-0099-4900-92CC-D720AB32C00D},,,,
-83.003720291599734,40.002457544113312,5820300,529586,1935 INDIANOLA AVE,Zeta Beta Tau Nu Chapter,Group Quarters - Dormitory,,Yes,No,,{FF46D5B4-98C5-4C8C-A749-BA6F47DCD746},,,,
-83.08710333544218,40.066394252024494,5820301,1238294,2554 BETHEL RD,Comstation,Retail - Services,,Yes,No,,{3DEC4458-344A-4FB1-8605-FCF4AA3597B5},,,,
-83.036896860592577,39.945809087213199,5820302,860066,1436 W MOUND ST,Huntington Bank,Office - Bank,,Yes,No,,{4EE0DCAE-1587-4A76-A0E7-7ABB6574F7DD},,,,
-83.059861419661871,40.065209537105673,5820303,1189359,1528 BETHEL RD,Envy Skin Gallery,Retail - Services,,Yes,No,,{F327773C-6BA3-4B87-8612-546D0FF194A4},,,,
-82.979445687456433,40.06167532283267,5820304,1241313,1492 MORSE RD,Mai's Beauty Salon,Retail - Services,,Yes,No,,{74D6E171-26FB-4586-8C5C-6C05A4BC90FB},,,,
-83.033224596906976,40.03590736193825,5820305,1273609,3705 OLENTANGY RIVER RD,OhioHealth MAX Sports Medicine Columbus,Medical - Physician,,Yes,No,614-533-6600,{A42A7BA8-69B1-4BA0-835C-0A958A22C9E3},https://www.ohiohealth.com/ohiohealth-physician-group/ohiohealth-sports-medicine-physicians/max-sports-medicine-columbus/,NO,NO,NO
-82.877800054475273,39.928387545860481,5820306,1286433,2246 S HAMILTON RD Unit 201,Golden Home Health Care,Medical - Other,,Yes,No,,{166FBFD0-D7D3-493E-AB70-FA782233B7D4},,,,
-82.996011471677519,40.096606257595624,5820307,1208539,784 BUSCH CT,Five Star Construction ,Office - Corporate,,Yes,No,,{C0E26632-5B74-4AF4-9EFC-7A8C536C3371},,,,
-83.006606691918464,39.968248479253525,5820308,1270699,171 W NATIONWIDE BLVD,Jimmy John's,Retail - Restaurant,,Yes,No,6147158401,{9414310F-5EC6-41E0-B2C9-7155FBE59D05},,,,
-83.009421489978322,39.967227343277692,5820309,1266365,300   NEIL AVE,Neil Avenue Garage,Transportation - Parking Lot/Garage,,Yes,No,,{61B8FA11-6E2E-43A3-9205-911097E209ED},,,,
-82.992278568532953,39.934296470412697,5820310,670903,1380 S 4TH ST,Buckeye Market,Retail - Commercial/Retail,,Yes,No,,{7C38D444-2E4F-40FF-8249-AE16BD02C5CF},,,,
-83.142585710920628,39.939784569182031,5820311,581809,552 NORTON RD,Sunoco,Retail - Gas Station,,Yes,No,,{7A2DA5DC-D7EE-43EF-85CF-397BF12E9ECA},,,,
-82.950527445709312,40.109284763934184,5820312,937244,6833 FLAGS CENTER DR,Helpful Hands Children's Center,Education - Daycare,"ODJFS 400110
",Yes,No,,{D2178B42-7CBC-4913-8B7E-87D102D518DC},,,,
-83.141611152556337,39.941349221973589,5820313,1310030,5467 NORTON CENTER,La Mariposa Bridal,Retail - Commercial/Retail,,Yes,No,,{28146B42-F0AA-420D-8E32-7B2FA3A0254D},,,,
-83.007999320505178,40.000469567291759,5820314,1276551,1866 N HIGH ST,Sta Travel University District,Retail - Services,,Yes,No,,{3B7572DE-431B-456D-BB8D-739388BE27BA},,,,
-83.082883100788379,40.093380591683029,5820315,1184480,3500 W DUBLIN-GRANVILLE RD,Majestic Nails,Retail - Services,,Yes,No,,{71F18651-C5F6-48AD-8FAE-B6E7AE1EF43B},,,,
-83.003918321312824,40.064528581905002,5820316,1288865,500 MORSE RD,Alice Cogswell Center,Education - Daycare,ODJFS 1000018285,Yes,No,,{8BE1F8D6-F30A-4453-99E4-CAE7F0C475AD},,,,
-83.033773673641903,39.95478919239909,5820317,663655,1270 W TOWN ST,Van's Carry Out,Retail - Commercial/Retail,,Yes,No,,{7A1B6B7A-A9A1-4368-BF5F-416B299203DB},,,,
-82.931412756951488,39.998992806360704,5820318,503868,2901 AIRPORT DR,Courtyard Columbus Airport,Retail - Hotel/Motel,,Yes,No,,{CB3D2903-0535-4568-BEF0-7CE2DDB27C93},,,,
-82.965274702095584,39.919619676794035,5820319,421836,2230 LOCKBOURNE RD,D & D Motors,Retail - Commercial/Retail,,Yes,No,,{1F170C02-F511-40CC-860E-A810857FF893},,,,
-82.99553773115683,39.933766645943109,5820320,822952,1392 S HIGH ST,South High Primary Care Center,Medical - Physician,,Yes,No,614-355-9000,{DCDB734C-1AC7-4A96-B388-72AD97DF568A},https://www.nationwidechildrens.org/locations/primary-care-locations/south-high,,,
-82.959588389117712,40.146338387417472,5820321,1272143,2170 POLARIS PKWY Unit 16,Mellow Mushroom,Retail - Restaurant,,Yes,No,,{A7F498C7-8496-4EB7-A437-3467F2B0A68B},,,,
-83.015699741907085,39.998586373178711,5820322,1298210,1827 NEIL AVE,Lazenby Hall,Education - College/University,OSU,Yes,No,,{FB574DAC-EAEE-4024-8339-3500E6013252},,,,
-82.954834677151297,40.002363361275606,5820323,569449,1633 WOODLAND AVE,Amatech Polycel,Office - Corporate,,Yes,No,,{909DD379-ECC9-41D0-8A58-C838035CB364},,,,
-82.857686505168317,39.924339123589789,5820324,603362,5000 LINDORA DR,Tee Tee's Playhouse,Education - Daycare,"ODJFS 2170015423
",Yes,No,,{8C4E1ED5-25F9-4013-B1DE-FE77067A6C31},,,,
-83.063011407716814,39.945305082250961,5820325,667331,2405 SULLIVANT AVE,Cliff's Tires,Retail - Services,,Yes,No,,{FDDA27C2-F79E-42F6-B24E-E8060FD71CE6},,,,
-83.016387721703836,39.927447792538636,5820326,761717,1575 HARMON AVE,Builders Trash Service,Retail - Services,,Yes,No,,{30E564FB-C267-4168-8051-B5F871CFD28F},,,,
-83.036708485249704,39.915873238721467,5820327,630665,2055 HARDY PARKWAY ST,MH Equipment,Industrial - Manufacturing,,Yes,No,,{2C8406CE-94A3-4598-B035-B2B0B1E1F383},,,,
-82.962086213739695,40.02516359326885,5820328,707815,2811 WESTERVILLE RD,L K Express Auto Body,Retail - Services,,Yes,No,,{17D3A3E1-7E2B-485F-8778-66BB5D2223FB},,,,
-83.004755745308088,39.972611239912183,5820329,1063286,511 PARK ST,Sell & Associates,Office - Corporate,,Yes,No,,{76F51A03-0920-489F-88A2-F3D266B31B6C},,,,
-82.963859933459787,40.023511012432643,5820330,603194,1783 MELROSE AVE,North Linden Baptist Church,Public Places - House of Worship,,Yes,No,,{5045C34D-2011-4911-833C-9B581361BF46},,,,
-82.995600398377718,39.993573085338141,5820331,668356,1462 N GRANT AVE,Matchbox ,Office - Corporate,,Yes,No,,{CD41EB77-7C6F-4A4E-8B7D-4577C830175B},,,,
-82.982377390804899,39.967001189970304,5820332,503204,705 E LONG ST,E'Voluer Barber Studio,Retail - Services,CHAN1709051,Yes,No,,{01C953F8-F382-46E2-97E6-7265A16BD18B},,,,
-83.065895088179076,40.117674665674635,5820333,998127,1862 HARD RD,Fireside Florist,Retail - Commercial/Retail,,Yes,No,,{45416FC1-8C5E-4B74-9280-22DA80E54312},,,,
-82.91536835974793,40.053431476950706,5820334,1238201,4155 THE STRAND,Michael Kors,Retail - Commercial/Retail,,Yes,No,,{5509A401-3F9E-432B-95BA-23556ECC91EF},,,,
-82.911537788307641,39.972515823659343,5820335,669226,3354 E BROAD ST,East Broad Chiropractic,Medical - Other,,Yes,No,,{D856F989-294B-41BF-90AC-8A1F886649A1},,,,
-83.137269273478807,39.989296089508308,5820336,403711,1819 WALCUTT RD,TDS Custom Cabinets,Industrial - Manufacturing,,Yes,No,,{513352D5-0576-44A8-BE3D-7F53DA332244},,,,
-82.878247144693546,39.920515918094836,5820337,690116,4434 CROSSROADS CENTER,Eastland Primary Care ,Medical - Physician,,Yes,No,,{A1CB5955-7DB3-4DAE-8AB0-52C76A0C1DB4},https://www.nationwidechildrens.org/locations/primary-care-locations/eastland,,YES,
-82.815742318677493,39.931242432561959,5820338,665059,6900 AMERICANA PKWY,Armor Paving & Sealing,Retail - Services,,Yes,No,,{32E1FAB5-F54C-42EE-A3C8-BFAEF8D5FA85},,,,
-82.99769727774617,40.07440190317196,5820339,507240,5346 SINCLAIR RD,Sinclair Mart,Retail - Commercial/Retail,,Yes,No,,{3C6962EE-0549-4D48-B505-08FA200831F7},,,,
-83.003027736685894,39.975346502695189,5820340,586437,636 N HIGH ST,Clover On High,Retail - Commercial/Retail,,Yes,No,,{D4064C08-05BA-4D01-BC88-116142FF2BF6},,,,
-83.090551233276656,40.104179532601307,5820341,1062667,6700 SAWMILL RD,Einstein Bros Bagels,Retail - Restaurant,,Yes,No,6147642907,{3610225B-61E9-4CDC-B5FD-B302D4156EDB},,,,
-83.075372520757199,39.985983146605712,5820342,1272082,2958 MCKINLEY AVE,Spiro's,Retail - Restaurant,,Yes,No,,{CC630F71-F240-468F-99FD-00DDBE3424F0},,,,
-82.982050935814812,39.964607537389703,5820343,641711,700 E BROAD ST,OhioHealth Endoscopy Center,Medical - Other,,Yes,No,614-917-1670,{4E716FF7-5B5E-4505-B042-1A9481246904},,,,
-83.022714874029134,39.907266972229991,5820344,962616,2463 JACKSON PIKE,Franklin County Sheriff's Office,Government - County,,Yes,No,,{4677E9F2-542E-4962-9FD3-80B8BD3F8B76},,,,
-82.999157792755554,40.048795815137822,5820345,1318574,800 E COOKE RD,Service Packaging Center,Retail - Services,,Yes,No,,{B85D2380-3E97-43EB-97F7-46BA111B21BC},,,,
-82.942481278539859,39.903328370209863,5820346,704495,1975 WATKINS RD,Georgia Pacific Resins,Industrial - Manufacturing,,Yes,No,,{9B964391-2815-4CF8-AFB5-5496C840B10C},,,,
-83.139128986688547,39.913311768995193,5820347,690090,1929 LONE EAGLE ST,B & B Truck & Trailer Repair,Retail - Services,,Yes,No,,{0F231351-0802-486B-8981-4083CCC918B7},,,,
-82.997573618278693,40.071218752176293,5820348,1037396,5164 SINCLAIR RD,The Bradley Company,Office - Corporate,,Yes,No,,{53A311E0-CA36-42AC-9310-291D81211247},,,,
-82.99583500853484,39.966943908363518,5820349,1234532,189 N 5TH ST,200 E Spring St Lot,Transportation - Parking Lot/Garage,,Yes,No,,{CEAAE944-B1FC-4E29-AF89-0CA75F31C4B8},https://www.parkplaceparking.com/parking-lot-details/16,,,
-83.154587201449175,40.004272949103019,5820350,1179349,5466 ROBERTS RD,Flyers Pizza ,Retail - Restaurant,,Yes,No,6145290123,{AC441C90-A13F-432A-8917-B613788A0D47},,,,
